paper_id	characteristic_id	raw_signal	construction_summary	sample_and_timing	breakpoints	weighting	rebalancing_frequency	holding_period	long_leg	short_leg	paper_lms_direction	evidence_pointer	evidence_type	confidence	reviewer_notes
chandrashekar-2009	cashpr	cash productivity	The repository uses (market equity + long-term debt - total assets) / cash. The 2009 working paper defines eta as (market value of the firm - total assets) / cash using full book debt, which reduces to (market equity - book equity) / cash. Rao, Tang, and Chandrashekar (2013) publish the reciprocal C = cash / (market equity - book equity).	Rao et al. use CRSP/Compustat data from 1963-2010, form portfolios at each month-end, and lag annual accounting variables by at least four months.	Ten deciles ranked by scaled cash C.	Equal-weighted and value-weighted returns are reported.	Monthly.	One month.	Low repository cash productivity / high published C.	High repository cash productivity / low published C.	L-H	extracted-text/rao-2013-publisher.txt:12-51,63-65,85-93,104-125,267-270,320-324,571-583@papers/rao-2013/rao2013.pdf; extracted-text/fallahgoul-2024-supplement.txt:4453-4461@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2109-2114@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; extracted-text/chen-zimmermann-2022-online-appendix.txt:570-575@supporting-information/chen-zimmermann-2022/chen-zimmermann-2022-online-appendix.pdf	publisher_final_reciprocal_plus_formal_replication_variants	medium	The 2013 final article is a formal successor/reformulation and directly confirms the L-H orientation after inverting C. It does not match the repository numerator exactly: EquityChars adds long-term debt before subtracting assets, while the final paper uses market equity minus book equity and Chen-Zimmermann uses market equity minus total assets. The original working-paper attribution is therefore retained and confidence remains medium.
chen-2010	invest	capital expenditures and inventory	Annual change in gross property, plant, and equipment plus annual change in inventories, scaled by lagged total assets.	Annual Compustat signal; the published article forms monthly investment-factor returns from low- and high-investment stocks.	Independent 30/40/30 sorts on size, book-to-market, and investment-to-assets, producing 27 portfolios.	Value-weighted returns within the 27 portfolios; INV averages the nine low-investment portfolios minus the nine high-investment portfolios.	Annual accounting signal; portfolios formed each June and factor returns measured monthly.	One month.	Lowest 30% investment-to-assets.	Highest 30% investment-to-assets.	L-H	extracted-text/lyandres-2008-publisher.txt:1520-1544@papers/lyandres-2008/lyandres-sun-zhang-2008.pdf; extracted-text/lyandres-2008-publisher.txt:1550-1562@papers/lyandres-2008/lyandres-sun-zhang-2008.pdf; extracted-text/fallahgoul-2024-supplement.txt:4718-4724@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	formal_published_exact_equivalent	high	The RFS typeset final directly matches the repository formula and verifies the L-H factor, breakpoints, and weighting. The repository's Chen-Zhang 2010 JF citation is withdrawn/incorrect, and Hou (2015) uses ΔA/A; Lyandres-Sun-Zhang (2008) is therefore retained as the exact published equivalent.
chordia-2001	dolvol	natural logarithm of dollar trading volume in month t-2	The published paper includes DVOL as a monthly characteristic in Fama-MacBeth cross-sectional regressions of risk-adjusted returns. DVOL is the log dollar volume in the second-to-last month and has a negative return coefficient; the paper does not form a standalone DVOL long-short portfolio.	NYSE/AMEX common stocks, January 1966-December 1995; monthly characteristics and returns, with DVOL lagged to month t-2.	Monthly cross-sectional regression characteristic; no DVOL portfolio breakpoints.	Fama-MacBeth and purged regression estimators; no portfolio weights for DVOL.	Monthly.	One-month return regression.	N/A	N/A	not-simple	extracted-text/chordia-2001-publisher.txt:36-60,110-121,361-361,664-665	extracted_text	high	The prior row conflated the level DVOL variable with variability. Publisher full text defines DVOL as the level of log dollar volume and supports a negative regression coefficient, not a simple LMS portfolio.
chordia-2001	std_dolvol	natural logarithm of the standard deviation of dollar trading volume over the past 36 months	STDVOL is calculated monthly from the prior 36 months beginning at t-2 and is used as an alternative variability measure in the paper's cross-sectional return regressions. Its coefficients are similar to those on CVVOL, but the paper's portfolio table double-sorts SIZE with CVVOL rather than forming a standalone STDVOL long-short portfolio.	NYSE/AMEX common stocks, January 1966-December 1995; at least 12 dollar-volume observations in the prior 36 months are required.	Monthly regression characteristic; the reported portfolio double sort is SIZE-CVVOL, not STDVOL endpoints.	Fama-MacBeth and purged regression estimators; no standalone STDVOL portfolio weights.	Monthly.	One-month return regression.	N/A	N/A	not-simple	extracted-text/chordia-2001-publisher.txt:43-60,110-121,216-219,664-665,1684-1684	extracted_text	high	Publisher full text defines the exact 36-month measure and reports similar coefficients to CVVOL. That evidence supports a negative regression relation but not a simple L-H portfolio.
chordia-2001	std_turn	natural logarithm of the standard deviation of share turnover over the past 36 months	STDTURN is calculated monthly from the prior 36 months beginning at t-2 and enters cross-sectional return tests as a turnover-variability measure. The paper finds returns decrease with turnover variability, but its portfolio table double-sorts SIZE with CVTURN rather than forming a standalone STDTURN long-short portfolio.	NYSE/AMEX common stocks, January 1966-December 1995; monthly characteristics and returns.	Monthly regression characteristic; the reported portfolio double sort is SIZE-CVTURN, not STDTURN endpoints.	Fama-MacBeth and purged regression estimators; no standalone STDTURN portfolio weights.	Monthly.	One-month return regression.	N/A	N/A	not-simple	extracted-text/chordia-2001-publisher.txt:36-60,110-121,216-219,665-665,1001-1003	extracted_text	high	Publisher full text defines the exact 36-month measure and supports a negative regression relation. It does not state a simple STDTURN L-H portfolio.
cooper-2008	agr	year-on-year percentage change in total assets	Asset-growth signal based on annual growth in total assets; low-growth firms earn higher subsequent returns.	U.S. stock cross section in the 2008 Journal of Finance paper; annual asset-growth sorts with subsequent return tests.	not reported in abstract	quintile sorts with an explicit spread column; equal- and value-weighted portfolios	annual	subsequent annual returns	low asset growth	high asset growth	L-H	doi:10.1111/j.1540-6261.2008.01370.x; scholar:10.1111/j.1540-6261.2008.01370.x_0043 (Table II)	direct_method_passage	high	Table II explicitly reports the low-growth and high-growth deciles plus a spread column, so the directional construction is directly stated.
daily-stock-residual-variance-of-capm	rvar_capm	CAPM residual variance from daily returns	Ang et al. (2006) use FF3 residual variance as the main idiosyncratic-volatility measure and report that the CAPM version produces almost identical quintile portfolios. The published evidence therefore supports low residual variance minus high residual variance, but not the repository's exact three-month window.	Published benchmark: July 1963-December 2000; daily returns over the previous month, monthly portfolio formation. Repository method label: rolling three-month daily-return window.	Monthly quintiles from lowest to highest residual volatility.	Value-weighted quintile portfolios.	Monthly.	One month in the paper.	lowest CAPM residual-volatility quintile	highest CAPM residual-volatility quintile	L-H	extracted-text/ang-2006-publisher.txt:1278-1329,1354-1362,1368-1413	related_publisher_final_window_mismatch	medium	The final Journal of Finance article directly states that CAPM-residual-volatility portfolios correlate above 99% with the FF3 counterparts. Direction is supported; the paper's main formation window is one month, versus three months in EquityChars.
daily-stock-residual-variance-of-fama-french-3-factors	rvar_ff3	FF3 residual variance var(εᵢ) from daily returns	Ang et al. (2006) estimate daily FF3 regressions, rank stocks into idiosyncratic-volatility quintiles, and hold value-weighted portfolios for one month. The reported high-minus-low return is negative, so the profitable orientation is low-minus-high.	Published benchmark: July 1963-December 2000; daily returns over the previous month, monthly portfolio formation. Repository method label: rolling three-month daily-return window.	Monthly quintiles from lowest to highest FF3 residual volatility.	Value-weighted quintile portfolios.	Monthly.	One month in the paper.	lowest FF3 residual-volatility quintile	highest FF3 residual-volatility quintile	L-H	extracted-text/ang-2006-publisher.txt:1278-1329,1368-1413	related_publisher_final_window_mismatch	medium	The final Journal of Finance article verifies the formula, legs, weighting, holding period, and L-H orientation. The repository extends the estimation window from the paper's main one month to three months, so this is a close benchmark rather than an exact construction match.
daily-stock-return-variance	rvar_mean	total variance of daily stock returns	Ang et al. (2006) also sort directly on total volatility. The final article forms monthly value-weighted quintiles using daily data from the previous month; the highest-minus-lowest portfolio return is negative, implying low total variance minus high total variance.	Published benchmark: July 1963-December 2000; daily returns over the previous month, monthly portfolio formation. Repository method label: rolling three-month daily-return window.	Monthly quintiles from lowest to highest total volatility.	Value-weighted quintile portfolios.	Monthly.	One month in the paper.	lowest total-volatility quintile	highest total-volatility quintile	L-H	extracted-text/ang-2006-publisher.txt:1294-1329,1368-1413	related_publisher_final_window_mismatch	medium	The final Journal of Finance article directly verifies the low-versus-high direction for total volatility. EquityChars uses a three-month rolling window rather than the paper's main one-month window.
datar-1998	turn	average shares traded over months t-3 to t-1 divided by shares outstanding	The published paper measures monthly turnover from average share volume over the previous three months divided by shares outstanding, then runs monthly cross-sectional return regressions using a GLS refinement of Fama-MacBeth. The negative turnover slope implies lower-turnover stocks have higher returns, but no turnover-sorted long-short portfolio is formed.	NYSE common stocks, July 1963-December 1991; 342 monthly cross-sectional regressions, with complete and 1%-trimmed samples.	Regression characteristic; the 10th-versus-90th-percentile difference is an economic-magnitude calculation from the estimated slope, not a portfolio sort.	GLS aggregation of monthly cross-sectional regression slopes; no portfolio weights.	Monthly.	One-month return regression.	N/A	N/A	not-simple	extracted-text/datar-1998-publisher.txt:1-30,115-123,457-462	extracted_text	high	The publisher full text defines the exact three-month turnover input and regression design. The reported percentile comparison is implied by the slope and should not be labeled a traded L-H portfolio.
eberhart-2004	rd	R&D increase	Select firms with an unexpected R&D increase; the direct passage describes an R&D/asset-ratio increase screen plus four >=5% filters and a sample-firm versus matched-firm return test.	Post-increase abnormal returns are tracked for 60 months.	One sample-firm versus matched-firm screen; no quantile breakpoint table in the cited passage.	N/A	Event-driven.	60 months.	Sample-firm stocks.	Matched-firm stocks.	not-simple	doi:10.1111/j.1540-6261.2004.00644.x; scholar:10.1111/j.1540-6261.2004.00644.x_0015 (Methods/Table II)	direct_method_passage	high	The original design compares selected event firms with matched firms; it is not a characteristic-sorted high-minus-low or low-minus-high factor.
fairfield-2003	grltnoa	GrNOA = net operating assets at fiscal year t divided by net operating assets at fiscal year t-1	The published article studies how accruals and cash flows relate to growth in net operating assets and future operating profitability. It forms annual GrNOA-ranked deciles for accounting regressions, but does not define a realized-return long-short portfolio for grltnoa.	Compustat observations with December fiscal year-ends from 1963-2001; annual accounting regressions and GrNOA-ranked subsamples.	Annual deciles ranked by growth in net operating assets for regression analysis.	N/A; no return portfolio.	Annual.	N/A; accounting persistence tests.	N/A	N/A	N/A	extracted-text/fairfield-2003-publisher.txt:75-93,240-298,449-468,844-917	publisher_final_pdf	high	Verified against the formal Review of Accounting Studies publisher PDF. The source paper supports an accounting GrNOA construct but no paper-reported realized-return L/S direction.
fama-1973	beta	estimated market beta, cov(Ri,Rm) / var(Rm), using Fisher's equally weighted NYSE return index	The published article forms 20 portfolios from ranked individual-security beta estimates to reduce errors in variables, re-estimates portfolio betas in a subsequent window, and runs monthly cross-sectional risk-return regressions in later test periods. It does not define a high-minus-low beta trading spread.	Nine predictive formation/estimation/test sequences spanning 1926-June 1968; typically seven formation years, five initial estimation years, and four test years.	Twenty beta-ranked portfolios with approximately equal security counts; first is lowest beta and last is highest beta.	Equal-weighted individual-security returns within each portfolio each month.	Portfolios are reformed at four-year test-period intervals; component betas update annually and portfolio betas update monthly for delistings.	Monthly returns during each subsequent test window.	N/A	N/A	not-simple	extracted-text/fama-1973-publisher.txt:465-575,593-635,650-735	publisher_final_jstor_pdf	high	Verified against the final Journal of Political Economy/JSTOR PDF. The original 1973 source establishes predictive beta-ranked portfolio regressions but no explicit long-high or long-low hedge, so a repository LMS direction cannot be attributed to the paper.
fama-2015	op	Operating profitability (OP)	At each June formation, independently sort stocks into two size groups and three OP groups; construct six value-weighted intersections. RMW is the average return on the small and big robust-profitability portfolios minus the average return on the small and big weak-profitability portfolios.	July 1963-December 2013; accounting data for the fiscal year ending in t-1 are used at the end of June in year t, with monthly factor returns thereafter.	NYSE median market cap; 30th and 70th NYSE percentiles for OP.	Value-weighted intersection portfolios; the RMW factor equally averages the small and big robust legs and subtracts the corresponding weak legs.	Annual June reconstitution.	12 months, measured monthly from July through the following June.	Robust/high OP: (SR + BR) / 2.	Weak/low OP: (SW + BW) / 2.	H-L	extracted-text/fama-2015.txt:338-375 (Section 4 and Table 3); papers/fama-2015/fama-2015-authoritative-fulltext.html	publisher_full_text_cityu	high	Original publisher full text explicitly defines RMW as robust minus weak and gives the 2x3 breakpoints, value weighting, and component formula.
francis-2004	roavol	EarnVar = rolling ten-year standard deviation of net income before extraordinary items scaled by beginning-of-year total assets	The published article measures earnings variability annually, converts EarnVar to decile ranks, and relates the most-versus-least-variable earnings deciles to implied cost of equity. This is a cost-of-capital comparison and regression sensitivity test, not a realized-return long/short portfolio.	Full sample covers 1975-2001; each firm-year EarnVar uses a rolling ten-year window.	Annual decile ranks of EarnVar; paper reports most-variable versus least-variable earnings deciles.	N/A; reported outcomes are implied cost-of-equity differences/regression coefficients, not portfolio returns.	annual	N/A; cross-sectional expected cost-of-equity analysis.	No traded long leg; the paper reports the most-variable-minus-least-variable cost-of-equity difference.	No traded short leg.	not-simple	extracted-text/francis-2004-publisher.txt:511-516,1831-1875; papers/francis-2004/francis-2004-publisher.pdf:p.998	publisher_final_jstor_pdf	high	Verified against the final Accounting Review/JSTOR PDF. Larger EarnVar means more volatile earnings and the paper reports a 382 bp unconditional high-minus-low cost-of-equity difference, but this does not establish the repository's realized-return L-H strategy.
gettleman-2006	chmom	change in 6-month momentum	Cumulative return from months t-6 through t-1 minus cumulative return from months t-12 through t-7.	Monthly CRSP signal; the contemporaneous summary reports an original 1926–2003 sample.	Extreme high- and low-acceleration portfolios are reported; the exact source-paper cutoffs have not been recovered.	Not recovered from the accessible source material.	Monthly signal formation; the source-paper portfolio rebalancing rule has not been verified.	The contemporaneous summary reports a six-month horizon for acceleration-refined momentum; the standalone acceleration-spread holding period is not verified.	Stocks with high change in six-month momentum (high price acceleration).	Stocks with low change in six-month momentum (low price acceleration).	H-L	paper: extracted-text/fallahgoul-2024-supplement.txt:4540-4546@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2158-2163@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; original-record: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=802724; contemporaneous-summary: https://www.cxoadvisory.com/momentum-investing/buying-on-impulse-change-in-momentum/	formal_formula_crosscheck_and_contemporaneous_direction_summary	medium	Published formula tables verify CHMOM = compound(t−6,t−1) − compound(t−12,t−7). A contemporaneous paper summary reports positive high-minus-low acceleration spreads. CIZ explicitly omits the unpublished Gettleman–Marks signal, HXZ has no identical entry, and JKP lists the two return-window components separately. Direction is therefore H-L, while exact source-paper breakpoints, weights, and the standalone holding rule remain pending.
guo-2006	rd_sale	RD_SALES = pre-IPO annual R&D expenditures / pre-IPO annual sales	The published article classifies IPOs into no-R&D, low-R&D, and high-R&D groups using each issue year's median positive RD_SALES and explicitly forms a zero-investment portfolio long high-R&D IPOs and short no-R&D IPOs.	2,696 U.S. IPOs issued during 1980-1995; portfolio returns run from the 7th through the 42nd month after each IPO, over April 1981-December 1998.	Within each IPO year, positive-R&D firms are split below/above that year's median RD_SALES; zero-R&D firms form a separate group.	Equal-weighted calendar-month portfolio returns.	monthly	Months 7-42 after the offering; constituents enter and leave with IPO age.	high-R&D IPO group	no-R&D IPO group	H-L	extracted-text/guo-2006-publisher.txt:252-310,369-377,474-480,1157-1192,1265-1357	publisher_final_pdf_cityu	high	Verified against the final Journal of Business Finance & Accounting/Wiley PDF. Table 8 explicitly defines the monthly rebalanced high-R&D-minus-no-R&D zero-investment portfolio; its four-factor alpha is 0.76% per month.
hafzalla-2011	pctacc	(Net Income - Cash from Operations) / |Net Income|	The published article scales operating accruals by absolute net income to preserve the accrual sign, sorts firms into ten portfolios using prior-year decile breakpoints, and reports the hedge as decile 1 minus decile 10.	Nonfinancial Compustat/CRSP firm-years spanning 1989-2008; returns start on the first day of the fourth month after fiscal year-end.	Prior-year decile breakpoints; ten portfolios; Table 4 reports decile 1 through 10 and decile 1 minus decile 10.	Not explicitly stated for the accrual decile portfolios; excess returns use equally weighted size-reference portfolios.	Annual.	One year.	Lowest percent operating accrual decile, including large negative percent accruals.	Highest percent operating accrual decile, including positive/high percent accruals.	L-H	extracted-text/hafzalla-2011-publisher.txt:19-24,109-111,219-230,298,323-325,573-575,664-685	publisher_final_pdf	high	Verified against the formal The Accounting Review publisher PDF; signal scaling, timing, deciles, and decile-1-minus-decile-10 direction are explicit.
heston-2008	seas1a	Past same-calendar-month return at the 12-month annual lag	The published article ranks stocks each month by past performance; its one-year annual strategy sorts on the return exactly 12 months earlier and explicitly buys winners and sells losers.	January 1965-December 2002 monthly returns for NYSE- and AMEX-listed stocks.	Ten portfolios with equal numbers of stocks; seas1a sorts on the 12-month lagged return.	Equal-weighted portfolios.	Monthly.	Next month.	Highest past same-calendar-month return decile / winners.	Lowest past same-calendar-month return decile / losers.	H-L	extracted-text/heston-2008-publisher.txt:15,30-32,287-291,650-657	publisher_full_text	high	Verified against the formal Journal of Financial Economics publisher full text; the 12-month winner-minus-loser direction is explicit.
hirshleifer-2004	noa	scaled net operating assets = (operating assets - operating liabilities) / lagged total assets	The published article computes NOA from operating assets minus operating liabilities scaled by lagged total assets; firms are assigned monthly to NOA deciles using prior fiscal-year NOA with at least a four-month lag, and the hedge portfolio is long the lowest NOA decile and short the highest NOA decile.	Monthly portfolio formation July 1964-December 2002 using previous fiscal-year NOA; minimum four-month lag between fiscal year-end and portfolio formation/return matching.	NOA deciles.	Monthly equal-weighted abnormal return within decile; value-weighted variant also reported; benchmark adjustment uses size/book-to-market/momentum matched portfolios.	Monthly.	Monthly returns; paper reports annual abnormal returns by summing monthly returns and first/second/third-year effects after release.	lowest NOA decile	highest NOA decile	L-H	extracted-text/hirshleifer-2004-publisher.txt:32-42,74,280-282,742-744,993-1005	publisher_full_text	high	Verified against the formal Journal of Accounting and Economics publisher full text; formula, timing, deciles, weighting, and low-minus-high hedge are explicit.
holthausen-1992	depr	depreciation divided by plant assets	Depreciation/plant assets is one of 60 candidate ratios in multivariate stepwise-logit models predicting the sign of subsequent 12-month excess returns. It enters eight of the twelve models, six times positively and twice negatively; the paper sorts the composite predicted-return probability, not this ratio alone.	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.	Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone depreciation breakpoint.	Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy.	Annual signal/portfolio formation.	12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	N/A	N/A	not-simple	extracted-text/holthausen-1992-publisher.txt:300-339,524-543,738-792	publisher_final_pdf	high	Verified against the formal 39-page Journal of Accounting and Economics PDF. Because depreciation is only an input to a changing multivariate model and its coefficient sign is not invariant, no standalone H-L/L-H direction is attributable.
holthausen-1992	pchdepr	percentage change in depreciation divided by plant assets	The percentage change in depreciation/plant assets is a candidate ratio in the multivariate stepwise-logit return models and enters five models with a positive sign. The traded portfolios sort the models' composite predicted-return probability rather than this ratio independently.	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.	Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone change-in-depreciation breakpoint.	Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy.	Annual signal/portfolio formation.	12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	N/A	N/A	not-simple	extracted-text/holthausen-1992-publisher.txt:300-339,524-543,738-792	publisher_final_pdf	high	Verified against the formal 39-page Journal of Accounting and Economics PDF. The positive logit inputs cannot be converted into a paper-defined characteristic hedge because the source trades only a changing multivariate probability score.
hong-2009	sin	Sin-stock indicator: alcohol/beer, tobacco/smoke, and gaming classification from Fama-French SIC groups plus NAICS/segment screens	The published article identifies sin stocks as Fama-French beer/alcohol and smoke/tobacco groups plus gaming NAICS codes, augmented with Compustat segment data; return tests use an equal-weighted portfolio long sin stocks and short comparable stocks.	CRSP/Compustat firm data cover 1962-2006; the main time-series return regressions use 1965-2006, with a longer 1926-2006 specification also reported.	No decile breakpoints; binary sin classification versus comparable industries.	Equal-weighted sin portfolio and equal-weighted comparable portfolio.	Monthly.	One month.	Sin stocks.	Comparable non-sin stocks from Fama-French food, soda, fun, and meals/hotels groups.	H-L	extracted-text/hong-2009-publisher.txt:35,48-52,576,582,739,753,1135-1138	publisher_full_text	high	Verified against the formal Journal of Financial Economics publisher full text; classification, equal weighting, comparables, and SIN-minus-COMP direction are explicit.
hou-2006	herf	H(Sales) = sum of squared firm sales shares within each three-digit SIC industry, averaged over the prior 3 years	The published article sorts industries into annual H(Sales) quintiles and explicitly reports Quintile 5 minus Quintile 1, where Q5 is most concentrated and Q1 is least concentrated.	The CRSP/Compustat sample covers July 1963-December 2001; fiscal-year t-1 accounting information is matched to July t-June t+1 returns.	In June each year, three-digit SIC industries are sorted into H(Sales) quintiles.	Firm-level tests equally weight firms within each concentration portfolio; industry-level tests first form industry portfolios and then equally weight industries within each quintile.	annual	12 months, July through June.	most concentrated industry quintile (Q5)	least concentrated industry quintile (Q1)	H-L	extracted-text/hou-2006-publisher.txt:331-350,398-447,620-715	publisher_final_jstor_pdf	high	Verified against the final Journal of Finance/JSTOR PDF. The paper explicitly tabulates Q5-Q1 as -0.26% per month raw and -0.36% characteristic-adjusted; the repository's L-H implementation reverses the paper's reported spread sign while capturing the positive low-concentration premium.
hou-2015	roe	income before extraordinary items (Compustat quarterly item IBQ) divided by one-quarter-lagged book equity	The published article constructs the ROE factor from triple 2x3x3 sorts on size, investment-to-assets, and ROE; it is the simple average of six high-ROE value-weighted intersection portfolios minus the simple average of six low-ROE portfolios.	January 1972-December 2012; excludes financial firms and firms with negative book equity; quarterly earnings enter immediately after public announcement dates RDQ, subject to a six-month freshness limit.	NYSE median size split; NYSE 30/40/30 investment breakpoints; monthly NYSE 30/40/30 ranked-ROE breakpoints; 18 intersections.	Monthly value-weighted portfolio returns; factor uses simple averages across six high-ROE and six low-ROE portfolios.	Monthly; ROE portfolios reconstructed monthly, size and investment resorted each June.	One month.	high ROE portfolios	low ROE portfolios	H-L	extracted-text/hou-2015-publisher.txt:52-57,100-105,406-414	publisher_full_text	high	Verified against the formal Review of Financial Studies publisher full text; definition, 2x3x3 breakpoints, timing, weighting, and high-minus-low ROE factor are explicit.
jegadeesh-1990	mom12m	twelve-month lagged stock return	S12 ranks securities in descending order by twelve-month lagged returns, forms ten equal-weight predictive portfolios, revises them monthly, and evaluates the P1-P10 zero-net-investment extreme-decile spread.	CRSP monthly returns; portfolio formation January 1934-1987; parameters and portfolios updated monthly.	Monthly deciles; P1 is highest twelve-month lagged return, P10 is lowest.	Equal weight within each decile; P1-P10 zero-net-investment spread reported.	Monthly.	One month.	P1 / highest twelve-month lagged returns	P10 / lowest twelve-month lagged returns	H-L	extracted-text/jegadeesh-1990.txt:400-417,438-447,505-528	extracted_text	high	S12 is explicitly descending by twelve-month lagged return and reports the extreme-decile difference.
jegadeesh-1993	mom1m	EquityChars uses the current one-month return, RET at t	The original paper does not construct a one-month formation signal. Its relative-strength strategies rank past returns over J = 3, 6, 9, or 12 months and buy winners minus losers. The paper therefore cannot supply a source-grounded LMS rule for EquityChars `mom1m`.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a one-month signal.	N/A; the paper has deciles for J = 3, 6, 9, and 12 months only.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A; no one-month portfolio in the paper.	N/A; no one-month portfolio in the paper.	N/A	extracted-text/jegadeesh-1993.txt:225-299 (Section I and Section II); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:235-236; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf	publisher_pdf_cityu	high	This is a source-mapping mismatch, not evidence that the paper endorses EquityChars' L-H sign. The paper's actual tested momentum portfolios are H-L but do not include a one-month formation horizon.
jegadeesh-1993	mom36m	EquityChars uses cumulative returns from months t-12 through t-35	The original paper does not construct a 36-month formation signal. Its longest ranking period is 12 months; the paper's later 36-month analysis tracks post-formation performance of portfolios formed on six-month lagged returns and is not a 36-month sort.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 36-month signal.	N/A; no 36-month formation sort.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A; no 36-month formation portfolio.	N/A; no 36-month formation portfolio.	N/A	extracted-text/jegadeesh-1993.txt:225-299 (J and K strategy definition),1150-1204 (36-month post-formation tracking); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:238-239; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf	publisher_pdf_cityu	high	The 36 months in the paper are an event-time evaluation horizon, not the EquityChars raw-signal window. Treat the attribution as unsupported for this signal.
jegadeesh-1993	mom60m	EquityChars uses cumulative returns from months t-12 through t-59	The original paper does not construct a 60-month formation signal. It tests J = 3, 6, 9, or 12 month momentum strategies; its discussion of 3- to 5-year reversals describes prior literature rather than defining this EquityChars characteristic.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 60-month signal.	N/A; no 60-month formation sort.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A for the unmatched signal.	N/A; no 60-month formation portfolio.	N/A; no 60-month formation portfolio.	N/A	extracted-text/jegadeesh-1993.txt:67-80 (prior long-horizon reversal literature),225-299 (tested J and K horizons); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:241-242; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf	publisher_pdf_cityu	high	The paper is not an authoritative construction source for the 12-to-59-month EquityChars signal; do not transfer the paper's H-L momentum sign to this unmatched horizon.
jegadeesh-1993	mom6m	Past J-month compounded return; the representative strategy uses J = 6 months	At the beginning of every month, rank stocks by past J-month returns, form ten equal-weighted deciles, buy the highest-past-return winner decile, and sell the lowest-past-return loser decile. Positions are held K months with overlapping cohorts and monthly rebalancing; J and K each take 3, 6, 9, or 12 months, with a second family of strategies inserting a one-week skip.	CRSP daily-return file compounded to monthly returns; January 1965-December 1989; stocks need returns over the preceding J months.	Ten portfolios ranked ascending on J-month lagged returns; lowest-return decile is sell and highest-return decile is buy.	Equal-weighted decile portfolios; the published results use monthly rebalanced returns.	Monthly formation and rebalancing with K overlapping cohorts.	K = 3, 6, 9, or 12 months; the representative case is 6 months.	Highest past-return decile (winners).	Lowest past-return decile (losers).	H-L	extracted-text/jegadeesh-1993.txt:225-299 (Section I construction and Section II result),332-393 (Table I notes and 32 strategies),1528-1544 (conclusion); papers/jegadeesh-1993/jegadeesh-titman-1993.pdf	publisher_pdf_cityu	high	The paper explicitly calls the zero-cost return winners minus losers / buy minus sell. This supports EquityChars' H-L direction for the six-month momentum mapping, subject to the repository formula's own lag-index convention.
jiang-2005	age	Firm Age = number of months between event month t and the first month that the stock appears in CRSP	The published article sorts firms monthly on Firm Age as an information-uncertainty proxy; its standalone age table uses ten portfolios and reports V10-V1, where V10 is youngest/low age and V1 is oldest/high age.	NYSE/AMEX/NASDAQ firms from 1965-2001; excludes closed-end funds, REITs, ADRs, foreign firms, very small firms, and firms with less than 12 months of CRSP past returns.	Monthly deciles on Firm Age; V1 is oldest/high age and V10 is youngest/low age.	Equal-weighted portfolio returns.	Monthly.	Next K months, K=6 or 12; holding-period returns average strategies initiated in the current and previous K-1 months.	youngest / low Firm Age portfolio (V10)	oldest / high Firm Age portfolio (V1)	L-H	extracted-text/jiang-2005-publisher.txt:352,394-400,472-512,553-572	publisher_final_pdf	high	Verified against the formal Review of Accounting Studies publisher PDF; age definition, monthly sort, equal-weighted overlapping returns, and V10-minus-V1 direction are explicit.
