characteristic_id	formula_latex	formula_direction	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	source_label	source_url	provenance	source_commit	code_path	code_lines	code_frequency_zh	code_frequency_en	reconcile_url	notes_zh	notes_en
bm	\(\displaystyle \mathrm{PS}=\operatorname{coalesce}(\mathrm{PSTKRV},\mathrm{PSTKL},\mathrm{PSTK}),\quad \mathrm{SEQ}^{*}=\operatorname{coalesce}(\mathrm{SEQ},\mathrm{CEQ}+\mathrm{PSTK},\mathrm{AT}-\mathrm{LT}),\quad \mathrm{BE}=\mathrm{SEQ}^{*}+\mathrm{TXDITC}-\mathrm{PS},\quad \mathrm{BM}=\frac{\mathrm{BE}}{\mathrm{ME}}\)	+1	Compustat: AT, CEQ, LT, PSTK, PSTKL, PSTKRV, SEQ, TXDITC	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2265, L2390	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2265	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2265,2390	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
bm_ia	\(\displaystyle \mathrm{BM\_IA}_{i,t}=\mathrm{BM}_{i,t} -\frac{1}{N_{\mathrm{ind},t}}\sum_{j\in\mathrm{ind}(i)}\mathrm{BM}_{j,t}\)	+1	Industry classification	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2273, L2397	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2273	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2273,2397	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cash	\(\displaystyle \mathrm{CASH}_{i,t}=\frac{\mathrm{CHE}_{i,t}}{\mathrm{AT}_{i,t}}\)	+1	Compustat: AT, CHE	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L509, L1481	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L509	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	509,1481	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cashdebt	\(\displaystyle \mathrm{CASHDEBT}_{i,t}= \frac{\mathrm{IB}_{i,t}+\mathrm{DP}_{i,t}} {\frac{1}{2}(\mathrm{LT}_{i,t}+\mathrm{LT}_{i,t-1})}\)	+1	Compustat: DP, IB, LT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L647, L1585	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L647	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	647,1585	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cashpr	\(\displaystyle \mathrm{CASHPR}_{i,t}= \frac{\mathrm{ME}_{i,t}+\mathrm{DLTT}_{i,t}-\mathrm{AT}_{i,t}}{\mathrm{CHE}_{i,t}}\)	-1	Compustat: AT, CHE, DLTT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2338, L2461	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2338	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2338,2461	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cfp	\(\displaystyle \mathrm{CFP}^{A}_{i,t}=\frac{\mathrm{IB}_{i,t}+\operatorname{coalesce}(\mathrm{DP}_{i,t},0)}{\mathrm{ME}_{i,t}},\quad \mathrm{CFP}^{Q}_{i,t}=\frac{\mathrm{TTM4}(\mathrm{IBQ})_{i,t}+\operatorname{coalesce}(\mathrm{TTM4}(\mathrm{DPQ})_{i,t},0)}{\mathrm{ME}_{i,t}}\)	+1	Compustat: DP, DPQ, IB, IBQ	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2290, L2412	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2290	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2290,2412	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cfp_ia	\(\displaystyle \mathrm{CFP\_IA}_{i,t}=\mathrm{CFP}_{i,t}-\overline{\mathrm{CFP}}_{\mathrm{industry},t}\).	+1	Industry classification	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2298, L2420	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2298	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2298,2420	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
chatoia	\(\displaystyle \begin{aligned} \mathrm{NOA}^{raw}_{i,t}&=(\mathrm{AT}_{i,t}-\mathrm{CHE}_{i,t}-\mathrm{IVAO}_{i,t})\\ &\quad-(\mathrm{AT}_{i,t}-\mathrm{DLC}_{i,t}-\mathrm{DLTT}_{i,t}-\mathrm{MIB}_{i,t}-\mathrm{PSTK}_{i,t}-\mathrm{CEQ}_{i,t}),\\ \mathrm{CHATO}_{i,t}&= \frac{\mathrm{SALE}_{i,t}}{\frac{1}{2}(\mathrm{NOA}^{raw}_{i,t}+\mathrm{NOA}^{raw}_{i,t-1})} -\frac{\mathrm{SALE}_{i,t-1}}{\frac{1}{2}(\mathrm{NOA}^{raw}_{i,t-1}+\mathrm{NOA}^{raw}_{i,t-2})},\\ \mathrm{CHATOIA}_{i,t}&=\mathrm{CHATO}_{i,t}-\overline{\mathrm{CHATO}}_{\mathrm{industry},t}. \end{aligned}\)	+1	Compustat: AT, CEQ, CHE, DLC, DLTT, IVAO, MIB, PSTK, SALE; Industry classification	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L1101, L1749	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1101	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1101,1749	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
chcsho	\(\displaystyle \mathrm{CHCSHO}_{i,t}=\frac{\mathrm{CSHO}_{i,t}}{\mathrm{CSHO}_{i,t-1}}-1\)	-1	Compustat: CSHO	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L536, L1577	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L536	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	536,1577	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
chempia	\(\displaystyle \mathrm{HIRE}_{i,t}=\begin{cases} (\mathrm{EMP}_{i,t}-\mathrm{EMP}_{i,t-1})/\mathrm{EMP}_{i,t-1}, & \text{available},\\ 0, & \text{otherwise}, \end{cases}\quad \mathrm{CHEMPIA}_{i,t}=\mathrm{HIRE}_{i,t}-\overline{\mathrm{HIRE}}_{\mathrm{industry},t}\)	-1	Compustat: EMP; Industry classification	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1077	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1077	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1077	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
chinv	\(\displaystyle \mathrm{CHINV}_{i,t}=\frac{\mathrm{INVT}_{i,t}-\mathrm{INVT}_{i,t-1}}{\tfrac12(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})}\)		Compustat: INVT, AT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L691	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L691	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	691	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
chmom	\(\displaystyle \mathrm{CHMOM}_{i,t}=\left[\prod_{k=1}^{6}(1+\mathrm{RET}_{i,t-k})-1\right]-\left[\prod_{k=7}^{12}(1+\mathrm{RET}_{i,t-k})-1\right]\)	H-L	CRSP monthly: RET	月频；最近六个月（t−6 至 t−1）累计收益减去此前六个月（t−12 至 t−7）累计收益。	Monthly; cumulative return over t−6 to t−1 minus cumulative return over t−12 to t−7.	不适用；该特征仅使用月度收益。	Not applicable; the characteristic uses monthly returns only.	经审计的文献定义 · Gettleman and Marks (2006)	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=802724	literature_audit_override				月频收益信号；无会计数据频率。	Monthly return signal; no accounting-data frequency.		CIZ 明确未纳入 Gettleman and Marks (2006)。因此不得把 chmom 归到 chars_ciz/accounting.py，也不得把二元反转指标 MomRev 视为该信号的实现。	CIZ explicitly omits Gettleman and Marks (2006). Accordingly, chmom must not be attributed to chars_ciz/accounting.py, and the binary MomRev indicator is not an implementation of this signal.
