characteristic_id	variant_id	variant_role	source_label	source_year	formula	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
rvar_ff3	equitychars	project_implementation	EquityChars formula table and portfolio builder	2026	RVAR_FF3 = sample Var(ε) from a rolling Fama–French 3-factor regression	CRSP daily: RET; Fama–French daily: RF, MKT−RF, SMB, HML; CRSP monthly: RET, ME for portfolios	滚动 3 个月日收益；与论文主规格的 1 个月不同。	Rolling three months of daily returns; different from the paper's one-month main specification.	当前公式表未注明额外等待期。	The formula table does not state an additional waiting period.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/formula_docs/equity_characteristics_calculation.tex#L300-L302	窗口和分组数均不同于 Ang et al. (2006)，方向一致。	Both the estimation window and the number of portfolios differ from Ang et al. (2006), while the direction agrees.
rvar_mean	ang-2006	original_paper	Ang, Hodrick, Xing & Zhang — The Cross-Section of Volatility and Expected Returns	2006	RVAR_MEAN = Var(daily RET)	CRSP daily: RET	组合形成日前 1 个月的日收益；论文主规格为 1/0/1。	Daily returns over the previous month; the paper's main specification is 1/0/1.	等待期 0 个月。	Zero-month waiting period.	每月市值加权五分位，持有 1 个月；做多低总波动 Q1、做空高总波动 Q5。	Monthly value-weighted quintiles held for one month; long low-total-volatility Q1 and short high-total-volatility Q5.	L-H	papers/ang-2006/ang-hodrick-xing-zhang-2006.pdf	26		论文 Table VI Panel A 的 total volatility 口径。	This is the total-volatility specification in Table VI, Panel A.
rvar_mean	equitychars	project_implementation	EquityChars method label and portfolio builder	2026	RVAR_MEAN = Var(daily RET) over a rolling 3-month window	CRSP daily: RET; CRSP monthly: RET, ME for portfolios	滚动 3 个月日收益；与论文主规格的 1 个月不同。	Rolling three months of daily returns; different from the paper's one-month main specification.	当前方法标签未注明额外等待期。	The method label does not state an additional waiting period.	每月全样本十分位；做多 D1、做空 D10；同时计算等权和市值加权。	Monthly full-sample deciles; long D1 and short D10; both equal- and value-weighted.	L-H			https://github.com/Yuning598/EquityChars/blob/website/documents/chars_summary.csv#L84	该信号未出现在当前公式表；三个月窗口来自维护中的方法标签，仍需上游计算代码作最终核验。	This signal is absent from the current formula table; the three-month window comes from the maintained method label and still needs final upstream calculation-code verification.
bm_ia	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	BM_IA(i,t) = BM(i,t) − mean[BM(j,t) | j ∈ industry(i)]	Compustat+CRSP: BM and industry membership	年频；同一期行业横截面去均值。	Annual; demeaned within the same-period industry cross-section.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	37		正式期刊补充材料明确写出行业调整公式。	The formal journal supplement states the industry-adjusted formula explicitly.
cfp_ia	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	CFP_IA(i,t) = CFP(i,t) − mean[CFP(j,t) | j ∈ industry(i)]	Compustat: cash-flow-to-price and industry membership	年频；同一期行业横截面去均值。	Annual; demeaned within the same-period industry cross-section.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	37		正式期刊补充材料明确写出行业调整公式。	The formal journal supplement states the industry-adjusted formula explicitly.
chempia	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	CHEMPIA(i,t) = ΔEMP(i,t) − mean[ΔEMP(j,t) | j ∈ industry(i)]	Compustat: employee change and industry membership	年频；同一期行业横截面去均值。	Annual; demeaned within the same-period industry cross-section.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	38		正式期刊补充材料明确写出行业调整公式。	The formal journal supplement states the industry-adjusted formula explicitly.
me_ia	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	ME_IA(i,t) = ME(i,t) − mean[ME(j,t) | j ∈ industry(i)]	Compustat: fiscal-year-end market capitalization and industry membership	年频；同一期行业横截面去均值。	Annual; demeaned within the same-period industry cross-section.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	39		正式期刊补充材料使用财年末市值 mve_f。	The formal journal supplement uses fiscal-year-end market equity mve_f.
chmom	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	CHMOM = compound(t−6,t−1) − compound(t−12,t−7)	CRSP: monthly RET	月频；比较相邻两个六个月累计收益窗口。	Monthly; compares two adjacent six-month cumulative-return windows.	该定义表未注明额外跳月。	No additional skip is stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	38		正式期刊补充材料给出完整窗口。	The formal journal supplement states both windows explicitly.
invest	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	INVEST = (ΔPPEGT + ΔINVT) / AT(t−1)	Compustat: PPEGT, INVT, AT	年频；分母使用 t−1 总资产。	Annual; lagged total assets are used in the denominator.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	39		正式期刊补充材料与已核发表投资因子口径一致。	The formal journal supplement matches the audited published investment-factor definition.
roic	fallahgoul-2024	published_replication	Fallahgoul, Franstianto & Lin — Journal Supplement	2024	ROIC = (EBIT − NOPI) / (LT + CEQ − CHE)	Compustat: EBIT, NOPI, LT, CEQ, CHE	年频。	Annual.	该定义表未注明。	Not stated in the definition table.	该行用于公式复核，没有单列组合形成规则。	This row cross-checks the formula and does not separately state portfolio formation.	未注明	supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf	40		正式期刊补充材料给出可复刻字段公式。	The formal journal supplement gives a field-level reproducible formula.
chmom	ciz-2022-coverage	coverage_audit	Chen & Zimmermann — Open Source Cross-Sectional Asset Pricing	2022	未构造 CHMOM；Gettleman and Marks (2006) 被明确列为未纳入的工作论文信号。		不适用。	Not applicable.	不适用。	Not applicable.	不适用。	Not applicable.				https://www.federalreserve.gov/econres/feds/files/2021-037pap.pdf	CIZ 从 HXZ 的特征库出发，但明确剔除七个未发表工作论文特征，其中包括 Gettleman and Marks (2006)。	CIZ starts from the HXZ characteristic set but explicitly excludes seven unpublished-working-paper signals, including Gettleman and Marks (2006).
chmom	hxz-2020-coverage	coverage_audit	Hou, Xue & Zhang — Replicating Anomalies	2020	HXZ 特征库中没有与 CHMOM 完全相同的相邻六个月收益差。	CRSP monthly returns for related momentum signals	不适用；这是覆盖核验而非 HXZ 构造。	Not applicable; this is a coverage audit rather than an HXZ construction.	不适用。	Not applicable.	不适用。	Not applicable.				https://academic.oup.com/rfs/article/33/5/2019/5236964	CIZ 的来源核算将 Gettleman–Marks 归于后续候选，而非 HXZ 的 240 个特征；HXZ 正文与附录也未检出该信号。	CIZ source accounting places Gettleman–Marks among later candidates rather than HXZ’s 240 characteristics; the HXZ paper and appendix contain no identical signal.
chmom	jkp-2023-decomposition	component_decomposition	Jensen, Kelly & Pedersen — Is There a Replication Crisis in Finance?	2023	CHMOM = ret_6_1 − ret_12_7；JKP 分别列示 ret_6_1 与 ret_12_7，但不构造二者之差。	CRSP: monthly RET	ret_6_1 使用 t−6 至 t−1；ret_12_7 使用 t−12 至 t−7。	ret_6_1 uses t−6 to t−1; ret_12_7 uses t−12 to t−7.	不适用；仅使用收益。	Not applicable; return data only.	JKP 对每个组成特征按国家—月份形成三分位，以非微型股确定断点，采用设上限的市值加权并持有一个月；这些规则并未用于 CHMOM 差值。	For each component characteristic, JKP forms country-month terciles using non-microcap breakpoints, capped value weights, and one-month holding; these rules are not applied to a CHMOM difference factor.				https://jkpfactors.s3.amazonaws.com/documents/Documentation.pdf	JKP 将两个窗口视为独立的正向动量特征（两者原文符号均为 +1）。因此它可验证 CHMOM 的代数拆分，却不能验证 CHMOM 本身的收益方向或组合设计。	JKP treats both windows as separate positive-signed momentum characteristics. It verifies the algebraic decomposition but not CHMOM’s own return direction or portfolio design.
chmom	novy-marx-2012	related_top_journal_method	Novy-Marx — Is Momentum Really Momentum? (Journal of Financial Economics)	2012	ret_12_7 = compound(t−12,t−7)	CRSP: monthly RET	组合形成前第 12 至第 7 个月的累计收益。	Cumulative return over months t−12 to t−7 before portfolio formation.	不适用；仅使用收益。	Not applicable; return data only.	按较早期中期动量排序；高 ret_12_7 相对低 ret_12_7。	Sort on intermediate-horizon past performance; high ret_12_7 relative to low ret_12_7.	H-L			https://www.sciencedirect.com/science/article/pii/S0304405X11001152	这是最接近的顶级金融期刊构造，但仅对应 CHMOM 的第二个组成部分，而且 CHMOM 对该部分取负号；它不是 CHMOM 的原始出处。	This is the closest top-finance-journal construction, but it is only CHMOM’s second component and CHMOM enters it with a negative sign; it is not the source of CHMOM.
chmom	ardila-2021	related_published_method	Ardila-Alvarez, Forró & Sornette — The acceleration effect and Gamma factor in asset pricing	2021	Γ_i,t(f) = r_i,t(f) − r_i,t−f(f); f = 6 gives a difference between adjacent six-month returns.	Monthly stock prices or returns	一般 Γ 在两个相邻的等长窗口间取收益差；f=6 时与 CHMOM 的窗口逻辑相同。论文基准 Γ* 另向前平移六个月。	General Γ differences two adjacent equal-length return windows; at f=6 its window logic matches CHMOM. The paper’s baseline Γ* is shifted back by an additional six months.	不适用；仅使用收益。	Not applicable; return data only.	按 Γ* 形成市值加权十分位组合；做多高 Γ*、做空低 Γ*。	Value-weighted decile portfolios sorted on Γ*; long high Γ* and short low Γ*.	H-L			https://doi.org/10.1016/j.physa.2020.125367	这是后续正式发表的加速度构造，但发表在 Physica A，并非顶级金融期刊；其基准 Γ* 与 CHMOM 还存在额外六个月位移。	This is a later published acceleration construction in Physica A, not a top finance journal; its baseline Γ* also differs from CHMOM by an additional six-month shift.
