characteristic_id	method_family	method_summary_zh	signal_role_zh	signal_role_en	estimand_zh	estimand_en	interpretation_zh
convind	sorted_portfolio_comparison	在存在可转换债务的企业中，按可转换债务占比形成五分位组合，考察个股α以及等权和市值加权组合收益；项目特征则为是否存在可转换债务的二元指标。	连续代理变量	Continuous proxy for the project indicator	条件于可转换债务为正的分位数组合收益	Returns of conditional convertible-debt quantile portfolios	论文排序的是连续债务占比而非二元指标；其端点比较不能作为项目指标的精确多空方向。
currat	multivariate_prediction_model	流动比率作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；投资组合按Pr阈值形成，而非按流动比率单独排序。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
depr	multivariate_prediction_model	折旧与固定资产之比属于60个候选比率之一，进入预测随后12个月超额收益符号的逐步Logit模型；不同模型中的入选频率与系数符号并不完全一致。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	未来12个月超额收益为正的预测概率	Predicted probability of a positive 12-month excess return	论文按综合预测概率形成组合，而非对该比率进行单变量排序，因而不存在唯一的单变量多空方向。
divi	event_study	以首次支付现金股利为事件，计算公告窗口及事件后一至三年的买入并持有超额收益；朴素交易检验在公告后买入事件公司并卖空CRSP等权指数。	事件识别变量	Event indicator	股利发起事件相对基准的异常收益	Abnormal returns around and after dividend initiations	识别对象是事件公司相对基准的异常收益，不是横截面特征分位数形成的两端组合。
divo	event_study	以停止支付常规现金股利为事件，计算公告窗口及事件后一至三年的买入并持有超额收益；朴素交易检验卖空事件公司并买入CRSP等权指数。	事件识别变量	Event indicator	股利停止事件相对基准的异常收益	Abnormal returns around and after dividend omissions	识别对象是事件公司相对基准的异常收益，不是横截面特征分位数形成的两端组合。
dolvol	cross_sectional_return_regression	以滞后第二个月的美元成交额对数作为月度特征，置于风险调整收益的Fama–MacBeth横截面回归。	横截面预测变量	Cross-sectional predictor	下一月风险调整收益	Next-month risk-adjusted return	方向反映横截面回归系数，不等同于独立的美元成交额多空组合收益。
egr	cross_sectional_return_regression	论文分解应计项目与融资变动，并在预测收益回归中检验权益融资变动；该变量与项目的股权增长特征属于相近但并非完全相同的定义。	最接近的文献解释变量	Closest source-paper predictor	未来股票收益	Future stock return	回归检验使用的是相近融资变动度量，既非项目特征的精确定义，也未形成独立两端组合。
lev	cross_sectional_return_regression	先按规模、组合形成期β和债务权益比形成27个组合，再在横截面期望收益方程中联合估计债务权益比、账面杠杆和β的定价关系。	横截面定价变量	Cross-sectional pricing variable	条件期望收益中的杠杆系数	Leverage coefficient in the conditional expected-return equation	论文报告的是条件系数及其经济量级，不是按杠杆单变量形成的简单多空组合。
lgr	cross_sectional_return_regression	最接近项目长期债务增长的文献变量是更宽泛的融资负债变动ΔFINL；论文在应计与融资分解后的预测收益回归中检验该变量。	最接近的文献解释变量	Closest source-paper predictor	未来股票收益	Future stock return	回归变量宽于项目定义且未单独排序，因此不能据此赋予项目特征精确的多空方向。
ni	cross_sectional_return_regression	以拆股调整后流通股数的年度对数变动近似净股票发行，并置于Fama–MacBeth未来收益回归。	最接近的文献解释变量	Closest source-paper predictor	不同期限的未来股票收益	Future stock returns over several horizons	该度量是项目净股票发行的近似变量，论文仅报告条件回归关系而未定义独立多空组合。
nincr	cross_sectional_return_regression	构造连续至少五年盈利增长指标，并在价格回归与未来12个月市场调整收益回归中检验；扩展检验区分连续增长年数。	盈利增长持续性指标	Earnings-growth persistence indicator	公司价值及未来12个月市场调整收益	Firm value and 12-month-ahead market-adjusted return	论文检验的是指标在条件回归中的解释力，没有按连续增长次数形成可交易的两端组合。
pchcapx_ia	model_weighted_zero_investment	将行业调整资本支出变动转化为年度十分位秩，并与β和盈利变动秩共同进入OLS权重方程，形成年度零投资基本面策略。	基本面信号与目标暴露	Fundamental signal and target exposure	模型加权零投资组合的未来12个月收益	12-month return on a model-weighted zero-investment portfolio	组合权重由回归约束确定，而非简单买入最低组、卖空最高组，故不编码为普通L−H。
pchcurrat	multivariate_prediction_model	流动比率的百分比变动作为候选会计变量进入逐步Logit模型，组合依据综合预测概率Pr形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量未被单独排序；论文组合含义属于综合预测概率，而非该变量自身的多空收益。
pchdepr	multivariate_prediction_model	折旧与固定资产之比的百分比变动作为候选比率进入逐步Logit收益模型，并在部分模型中以正系数入选。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	未来12个月超额收益为正的预测概率	Predicted probability of a positive 12-month excess return	论文按模型的综合预测概率形成组合，而不是独立交易该变量。
pchgm_pchsale	model_weighted_zero_investment	将毛利率相对销售增长的改善构造成基本面信号，形成年度十分位秩，并与β及盈利变动秩共同进入OLS权重方程。	基本面信号与目标暴露	Fundamental signal and target exposure	模型加权零投资组合的未来12个月收益	12-month return on a model-weighted zero-investment portfolio	组合权重由回归约束确定，不能等同于最高十分位减最低十分位的简单组合。
pchquick	multivariate_prediction_model	速动比率的百分比变动作为候选会计变量进入逐步Logit模型，组合依据综合预测概率Pr形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量未被单独排序；论文组合含义属于综合预测概率，而非该变量自身的多空收益。
pchsale_pchinvt	model_weighted_zero_investment	以销售增长相对存货增长的差异构造基本面信号，形成年度十分位秩，并与β及盈利变动秩共同进入OLS权重方程。	基本面信号与目标暴露	Fundamental signal and target exposure	模型加权零投资组合的未来12个月收益	12-month return on a model-weighted zero-investment portfolio	组合权重由回归约束确定，不能等同于最高十分位减最低十分位的简单组合。
pchsale_pchrect	model_weighted_zero_investment	以销售增长相对应收账款增长的差异构造基本面信号，形成年度十分位秩，并与β及盈利变动秩共同进入OLS权重方程。	基本面信号与目标暴露	Fundamental signal and target exposure	模型加权零投资组合的未来12个月收益	12-month return on a model-weighted zero-investment portfolio	组合权重由回归约束确定，不能等同于最高十分位减最低十分位的简单组合。
pchsale_pchxsga	model_weighted_zero_investment	以销售增长相对销售及管理费用增长的差异构造基本面信号，形成年度十分位秩，并与β及盈利变动秩共同进入OLS权重方程。	基本面信号与目标暴露	Fundamental signal and target exposure	模型加权零投资组合的未来12个月收益	12-month return on a model-weighted zero-investment portfolio	组合权重由回归约束确定，不能等同于最高十分位减最低十分位的简单组合。
pchsaleinv	multivariate_prediction_model	存货周转率的百分比变动作为候选会计变量进入逐步Logit模型，组合依据综合预测概率Pr形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量未被单独排序；论文组合含义属于综合预测概率，而非该变量自身的多空收益。
pm	cross_sectional_return_regression	将利润率作为DuPont分解项和控制变量，置于同期及未来收益回归；论文主要的未来收益结果来自资产周转率变动。	解释变量与控制变量	Explanatory and control variable	同期及未来市场调整收益	Contemporaneous and future market-adjusted returns	识别对象是条件回归系数，论文没有定义独立的利润率两端组合。
quick	multivariate_prediction_model	速动比率作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；组合按Pr阈值形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
rd	event_study	以研发支出相对资产显著上升且满足多项增长筛选的企业为事件样本，将其形成期后收益与特征匹配企业进行比较。	事件筛选变量	Event-screening variable	研发支出意外增加企业相对匹配企业的异常收益	Abnormal returns of unexpected R&D-increase firms relative to matched firms	识别对象是事件样本相对匹配样本的异常收益，不是按研发强度分位数构造的两端组合。
rdm	sorted_portfolio_comparison	每年按研发支出与市值之比形成五个组合，并将无研发企业单列；报告买入并持有收益、匹配调整收益及极端五分位差异。	组合排序变量	Portfolio sorting variable	研发强度组合的原始收益与匹配调整收益	Raw and matched-control returns of R&D-intensity portfolios	论文报告端点收益差异，但未将研发强度定义为独立、持续再平衡的零成本组合。
re	sorted_portfolio_comparison	每月按六个月分析师盈利预测修正形成十分位组合，组内等权并考察形成后收益；明确的零成本策略仅见于预测修正与过去收益的二维分类。	组合排序变量	Portfolio sorting variable	预测修正十分位组合的形成后收益	Post-formation returns of forecast-revision decile portfolios	单变量表报告分组收益及端点比较，但论文没有为该信号单独定义零成本组合。
rna	cross_sectional_return_regression	论文检验年度净经营资产回报率及其DuPont分解项，并将其用于年度收益回归；项目特征是季度口径的混合度量。	最接近的年度文献变量	Closest annual source-paper measure	年度未来股票收益	Annual future stock return	文献度量的频率与定义均不匹配项目特征，且没有相应的独立多空组合。
roavol	implied_cost_of_capital	以十年滚动窗口估计盈利波动性，将其转化为年度十分位秩，并比较最高与最低波动组的隐含权益资本成本，同时实施横截面敏感性回归。	资本成本解释变量	Cost-of-capital explanatory variable	隐含权益资本成本	Implied cost of equity	被解释变量是预期资本成本而非实现股票收益，因而不能解释为可交易的高波动减低波动组合。
rsup	cross_sectional_return_regression	围绕盈利公告计算事件窗口异常收益，并以收入意外（SURG）进入Fama–MacBeth及公告后漂移回归；部分检验与盈利意外符号进行条件组合。	公告信息解释变量	Announcement-information predictor	公告窗口及公告后股票收益	Announcement-window and post-announcement stock returns	主要识别对象是回归系数与事件反应，而非独立的收入意外两端组合。
salecash	multivariate_prediction_model	销售收入与现金之比作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；组合按Pr阈值形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
saleinv	multivariate_prediction_model	销售收入与存货之比作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；组合按Pr阈值形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
salerec	multivariate_prediction_model	销售收入与应收账款之比作为候选会计变量进入逐步Logit模型，用于估计下一年度盈利增加的概率Pr；组合按Pr阈值形成。	多变量模型的候选解释变量	Candidate predictor in a multivariate model	下一年度盈利增加的预测概率Pr	Predicted probability Pr of a one-year-ahead earnings increase	该变量仅是综合预测模型的输入；论文交易对象是预测概率Pr，而不是该变量的单变量多空组合。
securedind	sorted_portfolio_comparison	在存在担保债务的企业中，按担保债务占比形成五分位组合，考察个股α以及等权和市值加权组合收益；项目特征则为是否存在担保债务的二元指标。	连续代理变量	Continuous proxy for the project indicator	条件于担保债务为正的分位数组合收益	Returns of conditional secured-debt quantile portfolios	论文排序的是连续债务占比而非二元指标；其端点比较不能作为项目指标的精确多空方向。
sp	cross_sectional_return_regression	以滞后年度销售收入与市值之比解释逐月股票收益，并与账面市值比、公司规模和债务权益比联合进入横截面回归。	横截面预测变量	Cross-sectional predictor	下一月股票收益	Next-month stock return	论文报告的是销售市值比的条件回归系数，没有形成独立的销售市值比对冲组合。
std_dolvol	cross_sectional_return_regression	用截至t−2的过去36个月数据估计美元成交额标准差，并将其作为替代交易量波动度量置于横截面收益回归；组合表检验的是规模与变异系数的双重排序。	替代波动性解释变量	Alternative variability predictor	下一月股票收益	Next-month stock return	论文对该变量的证据来自回归系数；所报告的双重排序使用另一波动度量，不能视为该变量的独立多空组合。
std_turn	cross_sectional_return_regression	用截至t−2的过去36个月数据估计换手率标准差，并将其置于横截面收益回归；组合表检验的是规模与换手率变异系数的双重排序。	替代波动性解释变量	Alternative variability predictor	下一月股票收益	Next-month stock return	论文对该变量的证据来自回归系数；所报告的双重排序使用另一波动度量，不能视为该变量的独立多空组合。
tang	corporate_investment_regression	以应收账款、存货和固定资本清算价值的加权和加现金并除以滞后总资产，度量资产有形性；该变量进入公司投资—现金流敏感性回归及分组异质性检验。	公司投资回归解释变量	Explanatory variable in corporate investment regressions	资本支出及投资—现金流敏感性	Capital expenditure and investment–cash-flow sensitivity	被解释变量是公司投资而非股票收益；高低有形性分组是异质性检验，不构成资产定价多空组合。
tb	cross_sectional_return_regression	估计税后应税收入与账面净利润之比，并在行业—年度内形成五分位秩；主要证据来自下一年度收益回归，补充检验将税会差异与现金流进行二维组合。	行业内横截面预测变量	Within-industry cross-sectional predictor	下一年度股票收益	One-year-ahead stock return	论文的主要识别对象是条件回归系数；补充二维组合也不是税会差异的单变量多空组合。
turn	cross_sectional_return_regression	以过去三个月平均成交股数除以流通股数构造月度换手率，并采用Fama–MacBeth的GLS扩展估计逐月横截面收益斜率。	流动性代理变量	Liquidity proxy	下一月股票收益	Next-month stock return	论文报告的是换手率的条件收益斜率及其经济量级，没有形成换手率排序的独立多空组合。
