characteristic_id	characteristic_name	source_code_path	source_paper_id	authoritative_paper_id	signal_definition	sort_variable	long_leg	short_leg	reported_lms_direction	code_effective_direction	code_paper_agreement	evidence_pointer	status	notes
divo	Dividend omission	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	michaely-1995		Dividend omission	divo	Low	High	not-simple	L-H	n/a	paper: extracted-text/michaely-1995.txt:274-290,446-459,504-535,872-879,1591-1602; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.divo	paper_source_no_simple_lms	Repo attribution: Michaely, Thaler, and Womack (1995). Formula table has no entry for this signal.
dolvol	Dollar trading volume	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chordia-2001		Dollar trading volume	dolvol	Low	High	not-simple	L-H	n/a	paper: extracted-text/chordia-2001-publisher.txt:36-60,110-121,361-361,664-665; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.dolvol	paper_source_no_simple_lms	Repo attribution: Chordia, Subrahmanyam, and Anshuman (2001). Formula table direction: -1.
egr	Growth in common shareholder equity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	richardson-2005		Growth in common shareholder equity	egr	Low	High	not-simple	L-H	n/a	paper: extracted-text/richardson-2005-publisher.txt:71-77,235,1162,1165,1170-1172,1379,1501; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.egr	paper_source_no_simple_lms	Repo attribution: Richardson, Sloan, Soliman, and Tuna (2005). Formula table has no entry for this signal.
ep	Earnings-to-price	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	basu-1977		Earnings-to-price	ep	High	Low	N/A	H-L	n/a	paper: doi:10.1111/j.1540-6261.1977.tb01979.x; scholar:10.1111/j.1540-6261.1977.tb01979.x_0001 (Section II); scholar:10.1111/j.1540-6261.1977.tb01979.x_0047 (Table 1); code: repo/chars/data/equity_long_short_raw_no_impute.json#series.ep	paper_source_no_simple_lms	Repo attribution: Basu (1977). Formula table direction: +1.
gma	Gross profitability	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	novy-marx-2013		Gross profitability	gma	High	Low	H-L	H-L	yes	paper: extracted-text/novy-marx-2013.txt:118-139 (definition and sample),249-299 (Section 2.2 and Table 2); papers/novy-marx-2013/novy-marx-2013-authoritative-fulltext.html; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.gma	paper_direction_verified	Repo attribution: Novy-Marx (2013). Formula table direction: +1.
grcapx	Growth in capital expenditures	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	anderson-2006		Growth in capital expenditures	grcapx	Low	High	N/A	L-H	n/a	paper: doi:10.1111/j.1540-6261.2006.00833.x; scholar:10.1111/j.1540-6261.2006.00833.x_0007 (Section II); scholar:10.1111/j.1540-6261.2006.00833.x_0019 (Section III); code: repo/chars/data/equity_long_short_raw_no_impute.json#series.grcapx	paper_source_no_simple_lms	Repo attribution: Anderson and Garcia-Feijoo (2006). Formula table has no entry for this signal.
grltnoa	Growth in long-term net operating assets	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	fairfield-2003		Growth in long-term net operating assets	grltnoa	High	Low	N/A	H-L	n/a	paper: extracted-text/fairfield-2003-publisher.txt:75-93,240-298,449-468,844-917; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.grltnoa	paper_source_no_simple_lms	Repo attribution: Fairfield, Whisenant, and Yohn (2003). Formula table direction: +1.
herf	Industry sales concentration	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	hou-2006		Industry sales concentration	herf	Low	High	H-L	L-H	no	paper: extracted-text/hou-2006-publisher.txt:331-350,398-447,620-715; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.herf	paper_direction_verified	Repo attribution: Hou and Robinson (2006). Formula table direction: -1.
hire	Employee growth rate	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	bazdresch-2014		Employee growth rate	hire	Low	High	L-H	L-H	yes	paper: extracted-text/bazdresch-2014-publisher.txt:298-381,409-426,500-504; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.hire	paper_direction_verified	Repo attribution: Bazdresch, Belo, and Lin (2014). Formula table direction: -1.
ill	Illiquidity rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	amihud-2002		Illiquidity rolling 3m	ill	High	Low	N/A	H-L	n/a	paper: doi:10.1016/S1386-4181(01)00024-6; sciencedirect:abstract; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.ill	paper_source_no_simple_lms	Repo attribution: Amihud (2002). Formula table direction: +1.
indmom	Industry momentum	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	moskowitz-1999		Industry momentum	indmom	High	Low	H-L	H-L	yes	paper: extracted-text/moskowitz-1999.txt:221-243,591-615,1179-1194,1230-1240,1460-1465; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.indmom	paper_direction_verified	Repo attribution: Moskowitz and Grinblatt (1999). Formula table has no entry for this signal.
invest	Capital expenditures and inventory	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chen-2010	lyandres-2008	Capital expenditures and inventory	invest	Low	High	L-H	L-H	yes	paper: extracted-text/lyandres-2008-publisher.txt:1520-1544@papers/lyandres-2008/lyandres-sun-zhang-2008.pdf; extracted-text/lyandres-2008-publisher.txt:1550-1562@papers/lyandres-2008/lyandres-sun-zhang-2008.pdf; extracted-text/fallahgoul-2024-supplement.txt:4718-4724@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.invest	paper_direction_verified	Repo attribution: Chen and Zhang (2010). Formula table has no entry for this signal.
lev	Leverage	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	bhandari-1988		Leverage	lev	High	Low	not-simple	H-L	n/a	paper: extracted-text/bhandari-1988.txt:134-173,258-285,632-652,762-765,1116-1121; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.lev	paper_source_no_simple_lms	Repo attribution: Bhandari (1988). Formula table direction: +1.
lgr	Growth in long-term debt	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	richardson-2005		Growth in long-term debt	lgr	Low	High	not-simple	L-H	n/a	paper: extracted-text/richardson-2005-publisher.txt:163-167,221-235,665,1170-1172,1252,1374,1499,1705; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.lgr	paper_source_no_simple_lms	Repo attribution: Richardson, Sloan, Soliman, and Tuna (2005). Formula table direction: -1.
maxret	Maximum daily returns rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	bali-2011		Maximum daily returns rolling 3m	maxret	Low	High	N/A	L-H	n/a	paper: doi:10.1016/j.jfineco.2010.08.014; sciencedirect:abstract; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.maxret	paper_source_no_simple_lms	Repo attribution: Bali, Cakici, and Whitelaw (2011). Formula table direction: -1.
me	the market equity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	banz-1981		the market equity	me	Low	High	L-H	L-H	yes	paper: extracted-text/banz-1981-publisher.txt:174-189,213-223,518-635; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.me	paper_direction_verified	Repo attribution: Banz (1981). Formula table direction: -1.
me_ia	Industry-adjusted size	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	asness-2000		Industry-adjusted size	me_ia	Low	High	N/A	L-H	n/a	paper: extracted-text/fallahgoul-2024-supplement.txt:4793-4799@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2398-2405@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.me_ia	paper_source_no_simple_lms	Repo attribution: Asness, Porter, and Stevens (2000). Formula table direction: -1.
mom12m	Momentum rolling 12m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jegadeesh-1990		Momentum rolling 12m	mom12m	High	Low	H-L	H-L	yes	paper: extracted-text/jegadeesh-1990.txt:400-417,438-447,505-528; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.mom12m	paper_direction_verified	Repo attribution: Jegadeesh (1990). Formula table direction: +1.
mom1m	Momentum	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jegadeesh-1993		Momentum	mom1m	Low	High	N/A	L-H	n/a	paper: extracted-text/jegadeesh-1993.txt:225-299 (Section I and Section II); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:235-236; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.mom1m	paper_source_no_simple_lms	Repo attribution: Jegadeesh and Titman (1993). Formula table direction: -1.
mom36m	Momentum rolling 36m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jegadeesh-1993		Momentum rolling 36m	mom36m	Low	High	N/A	L-H	n/a	paper: extracted-text/jegadeesh-1993.txt:225-299 (J and K strategy definition),1150-1204 (36-month post-formation tracking); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:238-239; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.mom36m	paper_source_no_simple_lms	Repo attribution: Jegadeesh and Titman (1993). Formula table direction: -1.
mom60m	Momentum rolling 60m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jegadeesh-1993		Momentum rolling 60m	mom60m	Low	High	N/A	L-H	n/a	paper: extracted-text/jegadeesh-1993.txt:67-80 (prior long-horizon reversal literature),225-299 (tested J and K horizons); /home/yunting/project/EquityChars/repo/documents/formula_docs/equity_characteristics_calculation.tex:241-242; papers/jegadeesh-1993/jegadeesh-titman-1993.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.mom60m	paper_source_no_simple_lms	Repo attribution: Jegadeesh and Titman (1993). Formula table direction: -1.
mom6m	Momentum rolling 6m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	jegadeesh-1993		Momentum rolling 6m	mom6m	High	Low	H-L	H-L	yes	paper: extracted-text/jegadeesh-1993.txt:225-299 (Section I construction and Section II result),332-393 (Table I notes and 32 strategies),1528-1544 (conclusion); papers/jegadeesh-1993/jegadeesh-titman-1993.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.mom6m	paper_direction_verified	Repo attribution: Jegadeesh and Titman (1993). Formula table direction: +1.
ni	Net Stock Issues	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	pontiff-2008		Net Stock Issues	ni	Low	High	not-simple	L-H	n/a	paper: extracted-text/pontiff-2008-publisher.txt:151-216,565-615,743-783; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.ni	paper_source_no_simple_lms	Repo attribution: Pontiff and Woodgate (2008). Formula table direction: -1.
nincr	Number of earnings increases	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	barth-1999		Number of earnings increases	nincr	High	Low	not-simple	H-L	n/a	paper: extracted-text/barth-1999-publisher.txt:137-143,226-260,365-438,455-490,923-945,1219-1225; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.nincr	paper_source_no_simple_lms	Repo attribution: Barth, Elliott, and Finn (1999). Formula table direction: +1.
noa	(Changes in) Net Operating Assets	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	hirshleifer-2004		(Changes in) Net Operating Assets	noa	Low	High	L-H	L-H	yes	paper: extracted-text/hirshleifer-2004-publisher.txt:32-42,74,280-282,742-744,993-1005; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.noa	paper_direction_verified	Repo attribution: Hirshleifer, Hou, Teoh, and Zhang (2004). Formula table direction: -1.
op	Operating profitability	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	fama-2015		Operating profitability	op	High	Low	H-L	H-L	yes	paper: extracted-text/fama-2015.txt:338-375 (Section 4 and Table 3); papers/fama-2015/fama-2015-authoritative-fulltext.html; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.op	paper_direction_verified	Repo attribution: Fama and French (2015). Formula table direction: +1.
