characteristic_id	source_id	variant_role	source_label	source_year	formula_latex	formula_text	formula_match	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
bm	rosenberg-1985	original_paper	Persuasive evidence of market inefficiency	1985	\(\displaystyle \mathrm{BM}_{i,t}=\frac{\mathrm{BookEquity}_{i,t}}{\mathrm{MarketEquity}_{i,t}}\)	book-to-price ratio	paper_definition	book-to-price ratio	HICAP universe of approximately 1,400 large Compustat companies; monthly data from January 1973-March 1980 for the retrospective B/P test and April 1980-September 1984 for the prospective evaluation.	HICAP universe of approximately 1,400 large Compustat companies; monthly data from January 1973-March 1980 for the retrospective B/P test and April 1980-September 1984 for the prospective evaluation.			No quantile breakpoint; the weighted book/price exposure is fixed at one cross-sectional standard deviation above the capitalization-weighted market mean. Optimized positive and negative zero-investment weights, industry-neutral and orthogonal to eleven risk indexes and the companion strategy. Monthly weights; less than 5% monthly turnover. Monthly returns; high-book/price holdings tend to remain in the strategy for more than one year.	No quantile breakpoint; the weighted book/price exposure is fixed at one cross-sectional standard deviation above the capitalization-weighted market mean. Optimized positive and negative zero-investment weights, industry-neutral and orthogonal to eleven risk indexes and the companion strategy. Monthly weights; less than 5% monthly turnover. Monthly returns; high-book/price holdings tend to remain in the strategy for more than one year.	not-simple	papers/rosenberg-1985/rosenberg-1985-publisher.pdf		https://doi.org/10.3905/jpm.1985.409007	按论文变量定义转写。	Transcribed from the paper's variable definition.
bm_ia	asness-2000	original_paper	Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	\(\displaystyle \mathrm{BM\_IA}_{i,t}=\mathrm{BM}_{i,t}-\overline{\mathrm{BM}_{t}}_{\,\mathrm{industry}(i)}\)	industry-adjusted book-to-market	paper_definition	industry-adjusted book-to-market	Annual Compustat and CRSP data; the later formal appendix records annual frequency.	Annual Compustat and CRSP data; the later formal appendix records annual frequency.			Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	按论文变量定义转写。	Transcribed from the paper's variable definition.
cash	lakonishok-1994	original_paper	Contrarian Investment, Extrapolation, and Risk	1994	\(\displaystyle \mathrm{CFP}_{i,t}=\frac{\mathrm{Earnings}_{i,t}+\mathrm{Depreciation}_{i,t}}{\mathrm{MarketValue}_{i,t}}\)	Cash holdings	closest_paper_measure	Cash holdings	NYSE and AMEX, portfolios formed annually at the end of April from 1968 with up to five post-formation years; this sample description applies to the paper, not to a cash-holdings sort.	NYSE and AMEX, portfolios formed annually at the end of April from 1968 with up to five post-formation years; this sample description applies to the paper, not to a cash-holdings sort.			N/A; no matching cash-holdings sort. N/A. N/A. N/A.	N/A; no matching cash-holdings sort. N/A. N/A. N/A.	N/A	papers/lakonishok-1994/lakonishok-1994-publisher.pdf		https://doi.org/10.1111/j.1540-6261.1994.tb04772.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
cashdebt	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{CashDebt}_{i,t}=\frac{\mathrm{CashFlow}_{i,t}}{\mathrm{DLC}_{i,t}+\mathrm{DLTT}_{i,t}}\)	Cash flow to total debt	paper_definition	Cash flow to total debt	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to cashdebt. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to cashdebt. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
cashpr	chandrashekar-2009	original_paper	The Productivity of Corporate Cash Holdings and the Cross-Section of Expected Stock Returns	2009	\(\displaystyle \eta_{i,t}=\frac{\mathrm{MarketValueOfFirm}_{i,t}-\mathrm{AT}_{i,t}}{\mathrm{CHE}_{i,t}}\)	cash productivity	paper_definition	cash productivity	Rao et al. use CRSP/Compustat data from 1963-2010, form portfolios at each month-end, and lag annual accounting variables by at least four months.	Rao et al. use CRSP/Compustat data from 1963-2010, form portfolios at each month-end, and lag annual accounting variables by at least four months.			Ten deciles ranked by scaled cash C. Equal-weighted and value-weighted returns are reported. Monthly. One month.	Ten deciles ranked by scaled cash C. Equal-weighted and value-weighted returns are reported. Monthly. One month.	L-H			https://doi.org/10.2139/ssrn.1334162	按论文变量定义转写。	Transcribed from the paper's variable definition.
cfp	lakonishok-1994	original_paper	Contrarian Investment, Extrapolation, and Risk	1994	\(\displaystyle \mathrm{CFP}_{i,t}=\frac{\mathrm{Earnings}_{i,t}+\mathrm{Depreciation}_{i,t}}{\mathrm{MarketValue}_{i,t}}\)	Cash flow to price (C/P), with cash flow defined as earnings plus depreciation	paper_definition	Cash flow to price (C/P), with cash flow defined as earnings plus depreciation	NYSE and AMEX; annual end-of-April formations beginning in 1968; accounting data from COMPUSTAT and returns from CRSP; performance examined for five years.	NYSE and AMEX; annual end-of-April formations beginning in 1968; accounting data from COMPUSTAT and returns from CRSP; performance examined for five years.			Deciles on positive C/P; high C/P is decile 10 and low C/P is decile 1. Equal-weighted within portfolios; raw and size-adjusted returns are reported. Annual formation and annual rebalancing. One through five post-formation years.	Deciles on positive C/P; high C/P is decile 10 and low C/P is decile 1. Equal-weighted within portfolios; raw and size-adjusted returns are reported. Annual formation and annual rebalancing. One through five post-formation years.	H-L	papers/lakonishok-1994/lakonishok-1994-publisher.pdf		https://doi.org/10.1111/j.1540-6261.1994.tb04772.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
cfp_ia	asness-2000	original_paper	Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	\(\displaystyle \mathrm{CFP\_IA}_{i,t}=\mathrm{CFP}_{i,t}-\overline{\mathrm{CFP}_{t}}_{\,\mathrm{industry}(i)}\)	industry-adjusted cash flow-to-price ratio	paper_definition	industry-adjusted cash flow-to-price ratio	Annual Compustat data; the later formal appendix records annual frequency.	Annual Compustat data; the later formal appendix records annual frequency.			Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	按论文变量定义转写。	Transcribed from the paper's variable definition.
chatoia	soliman-2008	original_paper	The Use of DuPont Analysis by Market Participants	2008	\(\displaystyle \Delta\mathrm{ATO}_{i,t}=\mathrm{ATO}_{i,t}-\mathrm{ATO}_{i,t-1}\)	repository signal is industry-adjusted change in asset turnover; closest paper variable is unadjusted ΔATO = ATO(t) - ATO(t-1)	closest_paper_measure	repository signal is industry-adjusted change in asset turnover; closest paper variable is unadjusted ΔATO = ATO(t) - ATO(t-1)	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.			Annual deciles numbered 0-9 for the paper's unadjusted ΔATO. Regression-implied top-minus-bottom decile hedge; underlying future returns are compounded buy-and-hold market-adjusted returns. annual One year.	Annual deciles numbered 0-9 for the paper's unadjusted ΔATO. Regression-implied top-minus-bottom decile hedge; underlying future returns are compounded buy-and-hold market-adjusted returns. annual One year.	not-simple	papers/soliman-2008/soliman-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.2308/accr.2008.83.3.823	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
chcsho	pontiff-2008	original_paper	Share Issuance and Cross-sectional Returns	2008	\(\displaystyle \mathrm{ISSUE}_{i,t:t-11}=\ln(\mathrm{SplitAdjustedShares}_{i,t})-\ln(\mathrm{SplitAdjustedShares}_{i,t-11})\)	ISSUE(t,t-11) = ln(split-adjusted shares outstanding at t) - ln(split-adjusted shares outstanding at t-11)	paper_definition	ISSUE(t,t-11) = ln(split-adjusted shares outstanding at t) - ln(split-adjusted shares outstanding at t-11)	The primary sample contains monthly CRSP observations from January 1970-December 2003; an out-of-sample test covers September 1932-December 1969.	The primary sample contains monthly CRSP observations from January 1970-December 2003; an out-of-sample test covers September 1932-December 1969.			N/A; predictive cross-sectional regressions rather than portfolio sorts. N/A; no standalone hedge portfolio. monthly regressions with a rolling annual signal One month, six months, one year, second-year annual, and third-year annual holding-period dependent variables.	N/A; predictive cross-sectional regressions rather than portfolio sorts. N/A; no standalone hedge portfolio. monthly regressions with a rolling annual signal One month, six months, one year, second-year annual, and third-year annual holding-period dependent variables.	not-simple	papers/pontiff-2008/pontiff-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2008.01335.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
chempia	asness-2000	original_paper	Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	\(\displaystyle \mathrm{CHEMPIA}_{i,t}=\Delta\mathrm{EMP}_{i,t}-\overline{\Delta\mathrm{EMP}_{t}}_{\,\mathrm{industry}(i)}\)	industry-adjusted change in employees	paper_definition	industry-adjusted change in employees	Annual Compustat data; the later formal appendix records annual frequency.	Annual Compustat data; the later formal appendix records annual frequency.			Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	按论文变量定义转写。	Transcribed from the paper's variable definition.
chinv	thomas-2002	original_paper	Inventory Changes and Future Returns	2002	\(\displaystyle \mathrm{CHINV}_{i,t}=\frac{\mathrm{INVT}_{i,t}-\mathrm{INVT}_{i,t-1}}{(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})/2}\)	change in total inventory	paper_definition	change in total inventory	Annual Compustat/CRSP sample; 28 annual hedge returns; future return window begins four months after the inventory-change fiscal year-end.	Annual Compustat/CRSP sample; 28 annual hedge returns; future return window begins four months after the inventory-change fiscal year-end.			Annual deciles based on each year's inventory-change distribution. Buy-and-hold stock returns adjusted by the value-weighted return of the corresponding CRSP size-decile portfolio. Annual. 12 months, beginning four months after fiscal year-end.	Annual deciles based on each year's inventory-change distribution. Buy-and-hold stock returns adjusted by the value-weighted return of the corresponding CRSP size-decile portfolio. Annual. 12 months, beginning four months after fiscal year-end.	L-H	papers/thomas-2002/thomas-2002-publisher.pdf		https://doi.org/10.1023/A:1020221918065	按论文变量定义转写。	Transcribed from the paper's variable definition.
chmom	gettleman-2006	original_paper	Acceleration Strategies	2006	\(\displaystyle \mathrm{CHMOM}_{i,t}=\left[\prod_{\tau=t-6}^{t-1}(1+R_{i,\tau})-1\right]-\left[\prod_{\tau=t-12}^{t-7}(1+R_{i,\tau})-1\right]\)	change in 6-month momentum	paper_definition	change in 6-month momentum	月频；最近六个月（t−6 至 t−1）的累计收益减去此前六个月（t−12 至 t−7）的累计收益。	Monthly; cumulative return over t−6 to t−1 minus cumulative return over t−12 to t−7.	不适用；该特征仅使用月度收益。	Not applicable; the characteristic uses monthly returns only.	当期资料支持做多高价格加速度、做空低价格加速度；原始论文的精确断点、加权与独立组合持有期尚未由原文核实。	Contemporaneous evidence supports long high price acceleration and short low price acceleration; exact original breakpoints, weighting, and standalone holding period remain unverified from the primary paper.	H-L			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=802724	正式发表的附录材料核实了相邻两个六个月窗口的差值。CIZ 明确未纳入该工作论文信号；HXZ 与 JKP 均未提供完全相同的差值因子。	Published appendices verify the difference between adjacent six-month windows. CIZ explicitly omits the working-paper signal; neither HXZ nor JKP provides the identical difference factor.
chpmia	soliman-2008	original_paper	The Use of DuPont Analysis by Market Participants	2008	\(\displaystyle \Delta\mathrm{PM}_{i,t}=\mathrm{PM}_{i,t}-\mathrm{PM}_{i,t-1}\)	repository signal is industry-adjusted change in profit margin; closest paper variable is unadjusted ΔPM = PM(t) - PM(t-1)	closest_paper_measure	repository signal is industry-adjusted change in profit margin; closest paper variable is unadjusted ΔPM = PM(t) - PM(t-1)	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.			Annual decile ranks for the paper's unadjusted ΔPM. N/A; regression evidence does not establish a matching industry-adjusted traded spread. annual One year.	Annual decile ranks for the paper's unadjusted ΔPM. N/A; regression evidence does not establish a matching industry-adjusted traded spread. annual One year.	not-simple	papers/soliman-2008/soliman-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.2308/accr.2008.83.3.823	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
chtx	thomas-2011	original_paper	Tax Expense Momentum	2011	\(\displaystyle \mathrm{CHTX}_{i,q}=\Delta_4\mathrm{TaxExpense}_{i,q}\)	change in tax expense	paper_definition	change in tax expense	Quarterly tax-expense surprise with a next-quarter follow-through.	Quarterly tax-expense surprise with a next-quarter follow-through.			D10 vs D1 decile portfolios. Equal-weighted hedge quarterly next quarter / delayed response window	D10 vs D1 decile portfolios. Equal-weighted hedge quarterly next quarter / delayed response window	H-L	papers/thomas-2011/thomas-zhang-2011-jstor.pdf		https://onlinelibrary.wiley.com/doi/full/10.1111/j.1475-679X.2011.00409.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
cinvest	titman-2004	original_paper	Capital Investments and Stock Returns	2004	\(\displaystyle \mathrm{CI}_{i,t}=\frac{\mathrm{CE}_{i,t-1}}{\left(\mathrm{CE}_{i,t-2}+\mathrm{CE}_{i,t-3}+\mathrm{CE}_{i,t-4}\right)/3}-1,\qquad \mathrm{CE}=\frac{\mathrm{CAPX}}{\mathrm{SALE}}\)	abnormal capital investment CI = CE(t-1) / average[CE(t-2), CE(t-3), CE(t-4)] - 1, where CE is capex scaled by sales	paper_definition	abnormal capital investment CI = CE(t-1) / average[CE(t-2), CE(t-3), CE(t-4)] - 1, where CE is capex scaled by sales	CI uses fiscal-year t-1 accounting data; returns from July of year t to June of year t+1; sample return period July 1973-June 1996.	CI uses fiscal-year t-1 accounting data; returns from July of year t to June of year t+1; sample return period July 1973-June 1996.			CI quintiles in ascending order. Value-weighted excess monthly returns; CI-spread has one-dollar long low-CI and one-dollar short high-CI. Annual. 12 months for year-one returns; paper also reports first through fifth post-formation years and five-year cumulative returns.	CI quintiles in ascending order. Value-weighted excess monthly returns; CI-spread has one-dollar long low-CI and one-dollar short high-CI. Annual. 12 months for year-one returns; paper also reports first through fifth post-formation years and five-year cumulative returns.	L-H	papers/titman-2004/titman-2004-publisher.pdf		https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/abs/capital-investments-and-stock-returns/2C5E2AD6BEBB31D61A126FC4AB6FBFA2	按论文变量定义转写。	Transcribed from the paper's variable definition.
